Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
9,BubbleSortWhileNeeded,Ascending,Sorted,1000,2395
10,BubbleSortWhileNeeded,Ascending,Sorted,1000,4620
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2337373
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2963170
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2414300
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2653868
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2619098
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2645509
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2441669
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2589249
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2293630
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2388720
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1135956
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1244937
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1132620
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1157629
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1320888
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1229034
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1176844
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1154054
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1206557
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1356029
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2696
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2494
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2541
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2437
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2563
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2457
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2568
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2499
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2498
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,2408
1,BubbleSortWhileNeeded,Ascending,Random,10000,241585155
2,BubbleSortWhileNeeded,Ascending,Random,10000,260789200
3,BubbleSortWhileNeeded,Ascending,Random,10000,233770644
4,BubbleSortWhileNeeded,Ascending,Random,10000,231278481
5,BubbleSortWhileNeeded,Ascending,Random,10000,261206345
6,BubbleSortWhileNeeded,Ascending,Random,10000,283573810
7,BubbleSortWhileNeeded,Ascending,Random,10000,227756728
8,BubbleSortWhileNeeded,Ascending,Random,10000,300844378
9,BubbleSortWhileNeeded,Ascending,Random,10000,234770565
10,BubbleSortWhileNeeded,Ascending,Random,10000,230742158
1,BubbleSortWhileNeeded,Ascending,Sorted,10000,53409
2,BubbleSortWhileNeeded,Ascending,Sorted,10000,19905
3,BubbleSortWhileNeeded,Ascending,Sorted,10000,19692
4,BubbleSortWhileNeeded,Ascending,Sorted,10000,20085
5,BubbleSortWhileNeeded,Ascending,Sorted,10000,19985
6,BubbleSortWhileNeeded,Ascending,Sorted,10000,19727
7,BubbleSortWhileNeeded,Ascending,Sorted,10000,20087
8,BubbleSortWhileNeeded,Ascending,Sorted,10000,19732
9,BubbleSortWhileNeeded,Ascending,Sorted,10000,19752
10,BubbleSortWhileNeeded,Ascending,Sorted,10000,19632
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,221907758
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,218173977
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,217313604
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,221384016
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,214563344
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,219126130
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,242910729
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,221523923
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,216400431
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,213109670
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,131550910
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,123052983
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,120444284
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,119851439
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,145125922
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,132397665
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,132994237
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,129722253
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,133647647
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,132991320
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,24974
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21873
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21538
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21707
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21646
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21655
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21271
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,22217
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21607
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,21601
1,QuickSortGPT,Ascending,Random,100,57021
2,QuickSortGPT,Ascending,Random,100,96070
3,QuickSortGPT,Ascending,Random,100,33473
4,QuickSortGPT,Ascending,Random,100,55744
5,QuickSortGPT,Ascending,Random,100,33880
6,QuickSortGPT,Ascending,Random,100,34512
7,QuickSortGPT,Ascending,Random,100,11156
8,QuickSortGPT,Ascending,Random,100,13465
9,QuickSortGPT,Ascending,Random,100,14638
10,QuickSortGPT,Ascending,Random,100,11255
1,QuickSortGPT,Ascending,Sorted,100,105477
2,QuickSortGPT,Ascending,Sorted,100,96007
3,QuickSortGPT,Ascending,Sorted,100,104425
4,QuickSortGPT,Ascending,Sorted,100,97212
5,QuickSortGPT,Ascending,Sorted,100,96562
6,QuickSortGPT,Ascending,Sorted,100,96191
7,QuickSortGPT,Ascending,Sorted,100,96194
8,QuickSortGPT,Ascending,Sorted,100,96120
9,QuickSortGPT,Ascending,Sorted,100,96166
10,QuickSortGPT,Ascending,Sorted,100,245590
1,QuickSortGPT,Ascending,ReverseSorted,100,120229
2,QuickSortGPT,Ascending,ReverseSorted,100,161061
3,QuickSortGPT,Ascending,ReverseSorted,100,120586
4,QuickSortGPT,Ascending,ReverseSorted,100,120271
5,QuickSortGPT,Ascending,ReverseSorted,100,119460
6,QuickSortGPT,Ascending,ReverseSorted,100,185817
7,QuickSortGPT,Ascending,ReverseSorted,100,119347
8,QuickSortGPT,Ascending,ReverseSorted,100,188241
9,QuickSortGPT,Ascending,ReverseSorted,100,214652
10,QuickSortGPT,Ascending,ReverseSorted,100,119254
1,QuickSortGPT,Ascending,PartiallySorted,100,60272
2,QuickSortGPT,Ascending,PartiallySorted,100,85632
3,QuickSortGPT,Ascending,PartiallySorted,100,55465
4,QuickSortGPT,Ascending,PartiallySorted,100,37456
5,QuickSortGPT,Ascending,PartiallySorted,100,97555
6,QuickSortGPT,Ascending,PartiallySorted,100,76940
7,QuickSortGPT,Ascending,PartiallySorted,100,85677
8,QuickSortGPT,Ascending,PartiallySorted,100,68027
9,QuickSortGPT,Ascending,PartiallySorted,100,75953
10,QuickSortGPT,Ascending,PartiallySorted,100,86689
1,QuickSortGPT,Ascending,DuplicateValues,100,230749
2,QuickSortGPT,Ascending,DuplicateValues,100,192214
3,QuickSortGPT,Ascending,DuplicateValues,100,187940
4,QuickSortGPT,Ascending,DuplicateValues,100,189423
5,QuickSortGPT,Ascending,DuplicateValues,100,188118
6,QuickSortGPT,Ascending,DuplicateValues,100,188779
7,QuickSortGPT,Ascending,DuplicateValues,100,189071
8,QuickSortGPT,Ascending,DuplicateValues,100,188232
9,QuickSortGPT,Ascending,DuplicateValues,100,190545
10,QuickSortGPT,Ascending,DuplicateValues,100,189179
1,QuickSortGPT,Ascending,Random,1000,342766
2,QuickSortGPT,Ascending,Random,1000,302820
3,QuickSortGPT,Ascending,Random,1000,503161
4,QuickSortGPT,Ascending,Random,1000,619294
5,QuickSortGPT,Ascending,Random,1000,524378
6,QuickSortGPT,Ascending,Random,1000,504630
7,QuickSortGPT,Ascending,Random,1000,529811
8,QuickSortGPT,Ascending,Random,1000,588941
9,QuickSortGPT,Ascending,Random,1000,855238
10,QuickSortGPT,Ascending,Random,1000,737845
1,QuickSortGPT,Ascending,Sorted,1000,18978577
2,QuickSortGPT,Ascending,Sorted,1000,2347484
3,QuickSortGPT,Ascending,Sorted,1000,2391817
4,QuickSortGPT,Ascending,Sorted,1000,2380970
5,QuickSortGPT,Ascending,Sorted,1000,2625668
6,QuickSortGPT,Ascending,Sorted,1000,2334835
7,QuickSortGPT,Ascending,Sorted,1000,2336580
8,QuickSortGPT,Ascending,Sorted,1000,2329474
9,QuickSortGPT,Ascending,Sorted,1000,2368249
10,QuickSortGPT,Ascending,Sorted,1000,2597596
1,QuickSortGPT,Ascending,ReverseSorted,1000,1523671
2,QuickSortGPT,Ascending,ReverseSorted,1000,1530102
3,QuickSortGPT,Ascending,ReverseSorted,1000,1572401
4,QuickSortGPT,Ascending,ReverseSorted,1000,1538002
5,QuickSortGPT,Ascending,ReverseSorted,1000,1509939
6,QuickSortGPT,Ascending,ReverseSorted,1000,1572414
7,QuickSortGPT,Ascending,ReverseSorted,1000,1557549
8,QuickSortGPT,Ascending,ReverseSorted,1000,1682525
9,QuickSortGPT,Ascending,ReverseSorted,1000,1774437
10,QuickSortGPT,Ascending,ReverseSorted,1000,1509702
1,QuickSortGPT,Ascending,PartiallySorted,1000,158127
2,QuickSortGPT,Ascending,PartiallySorted,1000,103589
3,QuickSortGPT,Ascending,PartiallySorted,1000,83779
4,QuickSortGPT,Ascending,PartiallySorted,1000,87840
5,QuickSortGPT,Ascending,PartiallySorted,1000,115161
6,QuickSortGPT,Ascending,PartiallySorted,1000,95676
7,QuickSortGPT,Ascending,PartiallySorted,1000,120074
8,QuickSortGPT,Ascending,PartiallySorted,1000,98292
9,QuickSortGPT,Ascending,PartiallySorted,1000,79281
10,QuickSortGPT,Ascending,PartiallySorted,1000,117956
1,QuickSortGPT,Ascending,DuplicateValues,1000,2345288
2,QuickSortGPT,Ascending,DuplicateValues,1000,2803611
3,QuickSortGPT,Ascending,DuplicateValues,1000,2347240
4,QuickSortGPT,Ascending,DuplicateValues,1000,2354265
5,QuickSortGPT,Ascending,DuplicateValues,1000,2298227
6,QuickSortGPT,Ascending,DuplicateValues,1000,2297445
7,QuickSortGPT,Ascending,DuplicateValues,1000,2278800
8,QuickSortGPT,Ascending,DuplicateValues,1000,2380919
9,QuickSortGPT,Ascending,DuplicateValues,1000,2498332
10,QuickSortGPT,Ascending,DuplicateValues,1000,2265828
1,QuickSortGPT,Ascending,Random,10000,1158492
2,QuickSortGPT,Ascending,Random,10000,1350394
3,QuickSortGPT,Ascending,Random,10000,1188254
4,QuickSortGPT,Ascending,Random,10000,1279377
5,QuickSortGPT,Ascending,Random,10000,1116008
6,QuickSortGPT,Ascending,Random,10000,1131191
7,QuickSortGPT,Ascending,Random,10000,1258927
8,QuickSortGPT,Ascending,Random,10000,1248230
9,QuickSortGPT,Ascending,Random,10000,1118967
10,QuickSortGPT,Ascending,Random,10000,1597852
1,QuickSortGPT,Ascending,Sorted,10000,234198954
2,QuickSortGPT,Ascending,Sorted,10000,235210161
3,QuickSortGPT,Ascending,Sorted,10000,227286694
4,QuickSortGPT,Ascending,Sorted,10000,229339671
5,QuickSortGPT,Ascending,Sorted,10000,239090160
6,QuickSortGPT,Ascending,Sorted,10000,221380606
7,QuickSortGPT,Ascending,Sorted,10000,213987493
8,QuickSortGPT,Ascending,Sorted,10000,223543746
9,QuickSortGPT,Ascending,Sorted,10000,235035100
10,QuickSortGPT,Ascending,Sorted,10000,232152313
1,QuickSortGPT,Ascending,ReverseSorted,10000,168517591
2,QuickSortGPT,Ascending,ReverseSorted,10000,156670143
3,QuickSortGPT,Ascending,ReverseSorted,10000,156778933
4,QuickSortGPT,Ascending,ReverseSorted,10000,158407649
5,QuickSortGPT,Ascending,ReverseSorted,10000,155774447
6,QuickSortGPT,Ascending,ReverseSorted,10000,154445014
7,QuickSortGPT,Ascending,ReverseSorted,10000,163613970
8,QuickSortGPT,Ascending,ReverseSorted,10000,155337712
