Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
9,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022007000
10,BubbleSortUntilNoChange,Ascending,Sorted,10000,0.022174000
1,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,334.478283000
2,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,316.654607000
3,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,340.245749000
4,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,323.025159000
5,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,317.954472000
6,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,322.797421000
7,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,337.730962000
8,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,318.987484000
9,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,318.962829000
10,BubbleSortUntilNoChange,Ascending,ReverseSorted,10000,371.313788000
1,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,240.159220000
2,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,237.827184000
3,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,252.733321000
4,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,245.205956000
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,248.069429000
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,256.188280000
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,255.784425000
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,260.481977000
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,255.035503000
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,10000,248.821990000
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.023193000
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.022927000
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.022874000
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.022693000
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.022869000
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.022668000
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.023000000
8,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.037787000
9,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.023013000
10,BubbleSortUntilNoChange,Ascending,DuplicateValues,10000,0.038579000
1,BubbleSortWhileNeeded,Ascending,Random,100,0.196597000
2,BubbleSortWhileNeeded,Ascending,Random,100,0.179871000
3,BubbleSortWhileNeeded,Ascending,Random,100,0.178417000
4,BubbleSortWhileNeeded,Ascending,Random,100,0.176122000
5,BubbleSortWhileNeeded,Ascending,Random,100,0.177480000
6,BubbleSortWhileNeeded,Ascending,Random,100,0.175614000
7,BubbleSortWhileNeeded,Ascending,Random,100,0.173108000
8,BubbleSortWhileNeeded,Ascending,Random,100,0.170505000
9,BubbleSortWhileNeeded,Ascending,Random,100,0.179213000
10,BubbleSortWhileNeeded,Ascending,Random,100,0.204926000
1,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002896000
2,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002981000
3,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002939000
4,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002879000
5,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002937000
6,BubbleSortWhileNeeded,Ascending,Sorted,100,0.004285000
7,BubbleSortWhileNeeded,Ascending,Sorted,100,0.003032000
8,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002988000
9,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002873000
10,BubbleSortWhileNeeded,Ascending,Sorted,100,0.002991000
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.224246000
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.225136000
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.224737000
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.224121000
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.226519000
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.321550000
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.369680000
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.229660000
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.096471000
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,100,0.179708000
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.048945000
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.034801000
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.041595000
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.029969000
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.050222000
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.042467000
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.046124000
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.042916000
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.042681000
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,100,0.033794000
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001204000
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001097000
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001228000
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001192000
